Price,dia,tempMedia,tempMax,tempMin,humedadMedia,humedadMax,humedadMin,velViento,dirViento,velVientoMax,dirVientoVelMax,radiacion,precipitacion,Dia,Mes,Año
74,2.0,12.19,15.32,10.39,75.7,85.6,62.73,1.473,359.6,3.998,0.0,7.06,0.0,2,1,2020
81,3.0,11.77,16.18,7.94,77.8,86.8,64.39,2.111,326.3,4.302,337.0,9.86,0.0,3,1,2020
77,4.0,12.79,16.79,9.0,72.6,86.2,58.06,1.699,40.73,4.439,0.095,6.104,0.0,4,1,2020
73,7.0,10.82,16.17,6.878,71.7,86.9,48.0,1.55,340.4,4.449,0.095,11.28,0.0,7,1,2020
67,8.0,11.36,16.24,7.28,74.0,90.0,57.02,1.056,0.142,3.508,354.7,10.83,0.0,8,1,2020
64,9.0,12.3,17.44,8.93,71.5,88.5,48.11,1.577,341.6,4.91,10.14,10.39,0.0,9,1,2020
60,10.0,12.52,17.26,8.67,72.3,81.0,49.98,1.616,4.478,4.939,0.0,11.04,0.0,10,1,2020
66,11.0,12.35,17.37,9.13,61.94,78.0,44.25,1.558,350.5,4.332,348.1,10.51,0.0,11,1,2020
72,13.0,10.8,16.04,6.945,70.8,84.2,48.67,1.712,334.4,4.469,1.043,11.69,0.0,13,1,2020
87,14.0,10.99,16.65,6.811,66.75,79.3,39.38,2.316,332.4,6.311,270.3,11.37,0.0,14,1,2020
103,15.0,12.01,17.06,8.87,64.1,81.8,44.52,1.642,360.0,4.42,19.43,11.78,0.0,15,1,2020
95,16.0,12.51,16.79,9.87,64.98,85.7,41.66,1.115,347.8,3.969,343.7,11.84,0.0,16,1,2020
86,17.0,12.91,17.25,9.4,59.19,74.3,44.86,1.41,2.44,4.057,354.5,11.42,0.0,17,1,2020
83,18.0,13.24,16.52,10.07,69.88,86.4,47.12,1.372,341.4,7.41,275.3,4.536,0.6000000000000001,18,1,2020
90,20.0,11.1,13.87,8.27,65.2,83.0,46.73,1.658,356.6,7.77,84.4,3.308,6.2,20,1,2020
91,21.0,10.88,13.06,9.27,79.6,90.0,66.01,0.922,341.7,3.616,5.214,4.248,1.6,21,1,2020
91,22.0,12.79,17.46,9.0,71.0,86.1,48.05,1.929,24.96,6.341,92.5,8.4,1.2,22,1,2020
92,23.0,12.94,19.17,9.67,71.7,84.0,46.03,1.849,26.87,4.381,354.6,12.43,0.0,23,1,2020
93,24.0,13.68,17.19,11.2,72.8,89.9,54.4,1.179,28.46,4.155,0.19,10.43,2.0,24,1,2020
94,25.0,11.9,14.66,10.6,81.7,91.4,68.42,1.284,356.5,5.282,4.74,2.896,8.6,25,1,2020
87,27.0,12.22,16.85,8.4,67.96,79.8,50.19,2.367,330.2,5.753,265.6,13.36,0.0,27,1,2020
91,28.0,12.76,17.37,9.6,73.2,91.3,52.33,1.232,337.6,4.126,0.095,12.98,0.0,28,1,2020
94,29.0,12.79,16.77,9.0,85.6,98.1,72.9,0.71,343.2,3.156,241.6,12.18,0.0,29,1,2020
90,30.0,13.21,17.91,9.67,78.3,94.5,47.4,0.542,18.84,3.371,338.4,9.67,0.0,30,1,2020
85,31.0,14.94,20.73,11.07,59.81,79.7,36.04,1.004,342.0,4.047,342.5,11.96,0.0,31,1,2020
86,32.0,14.65,19.1,11.07,72.8,90.4,57.5,1.027,342.8,5.027,0.095,13.05,0.0,1,2,2020
89,34.0,15.4,21.85,9.8,66.92,95.2,34.96,1.143,319.1,4.812,341.1,14.6,0.0,3,2,2020
105,35.0,11.84,13.39,9.46,99.6,100.0,95.2,0.8250000000000001,275.6,3.038,278.9,6.9350000000000005,0.2,4,2,2020
106,36.0,13.41,18.91,6.996,80.0,100.0,53.74,1.937,69.09,6.693,107.4,13.79,0.2,5,2,2020
103,37.0,13.2,18.37,9.4,74.0,90.5,51.84,1.592,67.95,5.439,123.4,14.39,0.0,6,2,2020
89,38.0,12.93,17.78,9.53,78.9,90.9,61.05,1.538,307.2,3.9,264.2,8.9,0.0,7,2,2020
100,39.0,13.94,18.51,10.8,82.0,96.9,63.41,1.394,338.4,4.498,16.59,12.69,0.0,8,2,2020
103,41.0,14.14,19.24,10.47,73.9,94.1,45.18,1.569,310.6,4.616,0.5690000000000001,15.32,0.0,10,2,2020
100,42.0,14.29,18.57,10.34,70.3,92.4,37.85,1.33,315.2,6.4879999999999995,254.9,15.58,0.0,11,2,2020
102,43.0,14.45,18.32,10.8,81.8,95.4,54.8,0.981,35.29,4.949,3.697,13.52,0.0,12,2,2020
102,44.0,14.08,18.77,11.34,84.8,94.2,72.6,1.071,341.8,3.567,352.2,12.54,0.0,13,2,2020
101,45.0,14.06,18.17,11.13,82.0,99.7,67.11,0.997,356.7,3.91,1.043,14.22,0.0,14,2,2020
102,46.0,14.1,18.23,11.27,80.0,95.8,66.62,1.209,335.1,4.332,6.541,15.72,0.0,15,2,2020
